tv 	 segmentId 	 segmentName 	 notMatch 	 num 	 segmentSortOrder 	 statisticsType 	 startTime 	 name 	 place 	 team2 	 regionId 	 team1 	 sortOrder 	 team1Id 	 namePrefix 	 sportId 	 id 	 team2Id 	 liveHalf 	 sportName 	 
none 	 13178 	 Американский футбол. NFL 	 none 	 54387 	 1++1G+++P+++4x+++++1Bt+0Uw+1Bu 	 BetRadar 	 1641157500 	  	 line 	 Денвер Бронкос 	 840 	 Лос-Анджелес Чарджерс 	 2-gZBFn-tnpV 	 492167 	 none 	 6 	 31931745 	 492147 	 none 	 Американский футбол 	 
[4] 	 11781 	 Хоккей. НХЛ 	 none 	 38813 	 1+++I+++0+++0&s9+zzv+++9+0qo++Sm+0s3 	 BetRadar 	 1641092880 	  	 line 	 Ванкувер Кэнакс 	 none 	 Сиэтл Кракен 	 2-Pk7SR-u-+o 	 527657 	 none 	 2 	 31985716 	 528434 	 none 	 Хоккей 	 
none 	 72780 	 Киберспорт. Dota 2. Dota Pro Circuit. Восточная Европа. Нижний дивизион. Из 3-х карт 	 none 	 40776 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SBq+FlA 	 BetRadar 	 1642071600 	  	 notActive 	 B8 	 none 	 V Gaming 	 23Oc7x6-tbwB 	 410556 	 none 	 29086 	 31883021 	 357648 	 none 	 Киберспорт 	 
none 	 72780 	 Киберспорт. Dota 2. Dota Pro Circuit. Восточная Европа. Нижний дивизион. Из 3-х карт 	 none 	 40774 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SBq+FlA 	 BetRadar 	 1642179600 	  	 notActive 	 CIS Rejects 	 none 	 Winstrike Team 	 23qk7x4-tbw9 	 358967 	 none 	 29086 	 31883019 	 521545 	 none 	 Киберспорт 	 
none 	 72783 	 Киберспорт. Dota 2. Dota Pro Circuit. Юго-Восточная Азия. Верхний дивизион. Из 3-х карт 	 True 	 32997 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SCI+FlD 	 BetRadar 	 1641639600 	  	 notActive 	 none 	 none 	 Team SMG 	 21e661Z-tr2F 	 386629 	 none 	 29086 	 31944977 	 0 	 none 	 Киберспорт 	 
[4, 6] 	 11781 	 Хоккей. НХЛ 	 none 	 38799 	 1+++I+++0+++0&s9+zzv+++9+0qo++Sm+0s3 	 BetRadar 	 1641082080 	  	 line 	 Сент-Луис Блюз 	 none 	 Миннесота Уайлд 	 2-Mw7SD-u-+a 	 494457 	 none 	 2 	 31985702 	 496840 	 none 	 Хоккей 	 
none 	 71532 	 Футбол. FIFA 22. ECF. FA Cup. 2x4 мин. 	 none 	 52478 	 1+++8+++-+++-|+++ix-7DT+BTX-Vw6+EsU++00+FRg 	 BetRadar 	 1641064260 	  	 notActive 	 Челси (mooneycb) 	 none 	 Ман. Юнайтед (Kodak) 	 2-IHAny-u2M3 	 416422 	 none 	 1 	 31999493 	 405534 	 none 	 Футбол 	 
none 	 36950 	 Баскетбол. Япония. B-League 	 none 	 43741 	 1+++S+++1+++1&zxyYx++0o+1M0+++8+7-K 	 BetRadar 	 1641099900 	  	 line 	 Сихорсес Микава 	 392 	 Киото Ханнариз 	 2-RZ8fR-u0B2 	 435623 	 none 	 3 	 31990596 	 416860 	 none 	 Баскетбол 	 
none 	 72784 	 Киберспорт. Dota 2. Dota Pro Circuit. Юго-Восточная Азия. Нижний дивизион. Из 3-х карт 	 none 	 56096 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SCS+FlE 	 BetRadar 	 1641456000 	  	 notActive 	 LILGUN 	 none 	 496 Gaming 	 20uIBgU-tWol 	 359749 	 none 	 29086 	 31862065 	 417379 	 none 	 Киберспорт 	 
none 	 71532 	 Футбол. FIFA 22. ECF. FA Cup. 2x4 мин. 	 none 	 52438 	 1+++8+++-+++-|+++ix-7DT+BTX-Vw6+EsU++00+FRg 	 BetRadar 	 1641059940 	  	 notActive 	 Ман. Сити (dm1trena) 	 none 	 Ливерпуль (Flewless_phoenix) 	 2-H9AnK-u2LR 	 413915 	 none 	 1 	 31999453 	 403463 	 none 	 Футбол 	 
none 	 72788 	 Киберспорт. Dota 2. Dota Pro Circuit. Северная Америка. Нижний дивизион. Из 3-х карт 	 none 	 56860 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SD4+FlI 	 BetRadar 	 1641769200 	  	 notActive 	 KBU.US 	 none 	 5ManMidas 	 229sBsQ-tX+h 	 412623 	 none 	 29086 	 31862829 	 522121 	 none 	 Киберспорт 	 
none 	 72780 	 Киберспорт. Dota 2. Dota Pro Circuit. Восточная Европа. Нижний дивизион. Из 3-х карт 	 none 	 40764 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SBq+FlA 	 BetRadar 	 1641823200 	  	 notActive 	 Nemiga Gaming 	 none 	 Fantastic Five 	 22Nw7ww-tbw- 	 440147 	 none 	 29086 	 31883009 	 357112 	 none 	 Киберспорт 	 
none 	 72780 	 Киберспорт. Dota 2. Dota Pro Circuit. Восточная Европа. Нижний дивизион. Из 3-х карт 	 none 	 40762 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SBq+FlA 	 BetRadar 	 1642330800 	  	 notActive 	 B8 	 none 	 Fantastic Five 	 24S67wu-tbvz 	 440147 	 none 	 29086 	 31883007 	 357648 	 none 	 Киберспорт 	 
[4] 	 11781 	 Хоккей. НХЛ 	 none 	 38771 	 1+++I+++0+++0&s9+zzv+++9+0qo++Sm+0s3 	 BetRadar 	 1641064080 	  	 line 	 Чикаго Блэкхокс 	 none 	 Нэшвилл Предаторз 	 2-IE7Rn-u-+8 	 497132 	 none 	 2 	 31985674 	 497050 	 none 	 Хоккей 	 
none 	 13837 	 Баскетбол. Израиль. Суперлига 	 none 	 43747 	 1+++S+++1+++1&zr+zzv++-Y+1Kj+0tm+1MB 	 BetRadar 	 1641061200 	  	 line 	 Маккаби Тель-Авив 	 376 	 Хапоэль Иерусалим 	 2-HU8fX-u0B8 	 441834 	 none 	 3 	 31990602 	 441833 	 none 	 Баскетбол 	 
none 	 13827 	 Баскетбол. Япония. B2-League 	 none 	 43770 	 1+++S+++1+++1&zxyYx++0o+1M0+1ls+1M1 	 BetRadar 	 1641103200 	  	 line 	 Косигая Альфас 	 392 	 Нагоя Файтинг Иглс 	 2-SQ8fu-u0BV 	 426586 	 none 	 3 	 31990625 	 426582 	 none 	 Баскетбол 	 
none 	 13827 	 Баскетбол. Япония. B2-League 	 none 	 43767 	 1+++S+++1+++1&zxyYx++0o+1M0+1ls+1M1 	 BetRadar 	 1641103200 	  	 line 	 Фукусима Файрбондс 	 392 	 Эртфрендс Токио Зет 	 2-SQ8fr-u0BS 	 426576 	 none 	 3 	 31990622 	 426577 	 none 	 Баскетбол 	 
